Price,Open,High,Low,Close,Volume
Ticker,PTN,PTN,PTN,PTN,PTN
Date,,,,,
2021-01-26 19:00:00-05:00,1125.0,1187.5,1062.5,1100.0,7249
2021-01-27 19:00:00-05:00,1162.5,1250.0,1125.0,1150.0,5525
2021-01-28 19:00:00-05:00,1150.0,1175.0,1062.5,1100.0,4633
2021-01-31 19:00:00-05:00,1125.0,1175.0,1062.5,1137.5,4379
2021-02-01 19:00:00-05:00,1137.5,1162.5,1087.5,1137.5,3882
2021-02-02 19:00:00-05:00,1137.5,1187.5,1112.5,1175.0,3651
2021-02-03 19:00:00-05:00,1175.0,1300.0,1162.5,1262.5,6440
2021-02-04 19:00:00-05:00,1250.0,1262.5,1162.5,1225.0,5391
2021-02-07 19:00:00-05:00,1262.5,1275.0,1225.0,1250.0,6522
2021-02-08 19:00:00-05:00,1375.0,1437.5,1337.5,1437.5,8778
2021-02-09 19:00:00-05:00,1562.5,1625.0,1250.0,1562.5,19129
2021-02-10 19:00:00-05:00,1612.5,1612.5,1375.0,1462.5,7767
2021-02-11 19:00:00-05:00,1425.0,1450.0,1350.0,1437.5,4362
2021-02-15 19:00:00-05:00,1450.0,1462.5,1387.5,1412.5,5266
2021-02-16 19:00:00-05:00,1187.5,1275.0,1025.0,1150.0,24300
2021-02-17 19:00:00-05:00,1162.5,1237.5,1125.0,1137.5,7713
2021-02-18 19:00:00-05:00,1162.5,1175.0,1112.5,1150.0,4480
2021-02-21 19:00:00-05:00,1200.0,1200.0,1075.0,1075.0,6861
2021-02-22 19:00:00-05:00,1062.5,1062.5,912.5,987.5,5878
2021-02-23 19:00:00-05:00,1050.0,1100.0,1025.0,1062.5,3975
2021-02-24 19:00:00-05:00,1087.5,1087.5,975.0,1025.0,3280
2021-02-25 19:00:00-05:00,1000.0,1025.0,950.0,975.0,2642
2021-02-28 19:00:00-05:00,1012.5,1062.5,1000.0,1000.0,2644
2021-03-01 19:00:00-05:00,1037.5,1050.0,987.5,987.5,2011
2021-03-02 19:00:00-05:00,1000.0,1000.0,950.0,962.5,3146
2021-03-03 19:00:00-05:00,937.5,937.5,825.0,875.0,4293
